ClientID,Business_Size,Sales_M1,Sales_M2,Sales_M3,Sales_M4,Sales_M5,Sales_M6,Sales_M7,Sales_M8,Sales_M9,Sales_M10,Sales_M11,Sales_M12,Purchases_M1,Purchases_M2,Purchases_M3,Purchases_M4,Purchases_M5,Purchases_M6,Purchases_M7,Purchases_M8,Purchases_M9,Purchases_M10,Purchases_M11,Purchases_M12,Decl_Sales_M1,Decl_Sales_M2,Decl_Sales_M3,Decl_Sales_M4,Decl_Sales_M5,Decl_Sales_M6,Decl_Sales_M7,Decl_Sales_M8,Decl_Sales_M9,Decl_Sales_M10,Decl_Sales_M11,Decl_Sales_M12,Decl_Purchases_M1,Decl_Purchases_M2,Decl_Purchases_M3,Decl_Purchases_M4,Decl_Purchases_M5,Decl_Purchases_M6,Decl_Purchases_M7,Decl_Purchases_M8,Decl_Purchases_M9,Decl_Purchases_M10,Decl_Purchases_M11,Decl_Purchases_M12,CreditGrade
C011,micro,66988,57419,56486,46290,58725,57261,56241,60247,60743,53754,54598,56527,47819,41499,36811,29988,36219,35078,39757,41566,36953,36121,36048,41107,66232,56505,55475,46196,58694,55745,54531,59756,58468,52388,52567,54988,41151,37081,35652,29562,35092,32772,37467,37585,32346,33067,34603,35328,A
C012,micro,390451,330909,406100,335996,383179,379338,358295,471020,364704,397499,416604,345787,261870,239057,261300,238547,270292,246242,232962,351715,252991,295162,297923,250264,381184,323646,396364,335930,370574,378771,349972,460169,356872,387542,407698,332442,225899,229465,247041,203763,241918,217463,199941,326563,230843,253022,278814,242888,A
C013,small,701314,729260,779557,733794,779843,752311,787078,644959,659396,632785,735512,690119,424145,444675,541382,536456,468925,535635,568212,394301,460567,428009,494251,512991,673262,707294,770584,713969,757290,743146,784514,625468,645102,613877,717251,679203,409663,382504,515890,500105,408292,463224,503910,344133,455454,407471,437733,479817,A
C014,micro,403463,395622,334119,402530,350136,404645,380154,432449,391994,398391,363685,418370,298515,259582,238181,287596,255801,249470,245205,290275,274764,254428,256460,292252,390261,384893,332616,387771,346587,389468,376071,427995,382710,398254,355715,404812,269483,248477,215224,246683,229552,249425,219013,266841,263854,252279,224739,257726,A
C015,small,596588,579872,615508,518888,551160,551552,589374,581227,594428,621290,637447,623967,430177,366237,384746,314968,333955,347497,441902,381237,424467,416899,431206,462831,575336,567465,594373,509306,535706,541353,581491,566448,585465,612411,622658,609073,390843,333616,331632,270408,287786,331634,377549,352615,369242,356287,407888,424370,A
C016,micro,271849,286938,257212,271235,265125,296816,267456,288135,268141,296689,266257,262247,191516,192145,162625,180920,163882,218947,183198,193282,173537,179937,189806,178719,269318,284533,247667,267543,255086,293076,261500,282003,264506,293010,258411,251877,184946,186846,141638,169468,147675,193731,161177,172161,172935,158761,171482,152404,A
C017,micro,303177,315222,312724,332348,286184,280399,292199,278651,338923,315384,246747,285575,195446,215683,206213,238727,189675,174292,181933,169499,239857,203059,155406,206957,297938,303651,307033,321167,282483,270512,285712,277402,336174,303626,246360,281682,187201,207387,202740,207714,183329,170057,177275,144816,217924,185918,144231,191214,A
C018,micro,274460,281017,287280,291291,299848,286205,269987,263117,295332,286698,290208,253001,193480,183464,206409,210343,188788,212484,181294,184179,186560,206746,188041,162955,266796,279082,282138,281873,296421,282082,264946,258618,283665,283203,284807,243682,164854,163591,206328,185910,163444,181131,163390,178881,164658,204718,187717,138781,A
C019,micro,374418,379874,373616,384904,425077,410801,400489,346631,343937,400893,392534,360655,233194,258277,245858,270684,278825,304783,286992,239593,238102,279201,251329,256975,363737,375458,359640,380129,417463,403469,390021,335159,337635,385688,389795,356487,199760,222501,209361,270452,262072,267283,259629,234700,218468,278002,218744,246016,A
C020,micro,466956,368869,414573,474298,488091,418435,472242,468731,465719,436052,425207,423378,340245,273873,283673,297298,349247,281965,328061,340264,311638,294200,298458,295356,453298,355108,410782,464451,474994,410244,458333,455804,458767,428333,413617,413130,302374,256711,247999,279377,340123,246285,314986,310081,301293,285549,288880,277293,A
C021,micro,195110,161992,190839,155447,177133,176720,196354,179917,171264,199891,203310,170169,124987,117949,140643,111006,120008,110481,126610,115613,111165,133732,138588,107651,193548,160221,189688,150892,174404,174265,191538,175674,169964,196696,202484,166698,121769,115453,136180,109136,114587,101439,113428,112493,96819,121722,122606,101038,A
C022,micro,289842,261649,256276,245367,286365,243204,280126,254773,267372,261832,279299,282811,182127,157231,183444,182474,201970,156778,200346,179165,175952,181261,185492,194473,286395,252354,255489,245258,282669,241212,269247,246394,266035,259160,273804,272951,168038,145810,164492,156352,184935,135517,171653,170695,171971,157476,161259,179102,A
C023,micro,446513,512267,502860,436097,462133,432807,425772,543640,462898,501659,488409,478432,324510,312361,323948,280493,334293,300336,262519,326227,343158,311643,323932,311925,444187,500559,499416,431175,445852,425819,410951,523580,459773,490911,472037,469781,304479,301754,307225,261884,293087,266124,243068,296707,316549,309574,319151,288800,A
C024,medium,3749025,3179931,3302941,3120079,3098390,2998655,3541693,3468851,2947773,3448205,3572703,3900854,2554525,2334124,2399312,2015265,2152376,2105163,2640559,2546258,2185373,2401102,2473015,2473736,3671950,3155409,3282359,3062006,3068373,2938643,3520489,3416083,2931456,3342235,3487275,3842244,2226155,2026999,2189431,1881315,2133462,1918622,2536291,2544521,2158055,2041665,2462380,2432567,A
C025,small,1203234,1228867,1191130,1266929,1225902,1479524,1077999,1379500,1194861,1265899,1512034,1152148,751176,833304,772933,893030,802916,1073329,724632,934577,785570,948957,1023853,787905,1156763,1215100,1163543,1238395,1190679,1473622,1063752,1349485,1160917,1241888,1485376,1140409,731835,811267,665937,845458,719725,996735,720077,918203,702547,879547,883898,745561,A
C026,micro,299928,298756,278531,289894,283066,243787,265698,297859,287343,253894,305431,265656,192090,192407,207328,213647,193964,164026,185472,202691,215324,157744,227944,184082,296574,290332,274076,287003,279006,243039,264515,293625,279247,250670,296598,256374,179698,175352,193657,208979,167684,148140,184738,200319,214311,135288,223962,177731,A
C027,micro,437193,429759,424008,414752,410588,424655,443924,457121,435206,429118,397863,382982,286773,309021,264012,259424,251352,274232,318513,285443,265735,302597,249518,264195,426968,421397,410790,410199,408115,423447,439235,447550,426378,422158,383158,369462,285330,289707,228070,221041,245204,270727,304399,259197,254004,299116,222876,251673,A
C028,small,1227592,1157006,1260046,1406067,1287905,1223771,1169968,1202164,1279541,1004820,1188751,1075977,889404,791807,913071,1053903,836993,750969,837784,748236,906943,746855,726285,717757,1219791,1117461,1248215,1393794,1271166,1181267,1125008,1185623,1241216,1004355,1166564,1035485,849214,747527,898797,921415,788076,674030,808034,653541,897405,690595,708117,634853,A
C029,small,904563,649951,829459,813648,832450,839684,835087,724908,776243,744755,694083,825264,581499,456701,602302,586943,499478,620141,602135,538898,522186,520872,492848,552858,897523,635340,800562,802001,815090,828201,804468,715157,760437,737466,678199,803141,535941,451189,539741,585616,433078,617399,590697,534635,462388,509741,478324,483447,A
C030,micro,204148,229669,219554,226716,190775,249404,223715,201738,249282,223240,207808,207611,141754,163121,154402,137088,140292,160358,152874,132433,150565,150491,150704,135995,200191,224822,214163,224396,185703,245368,217595,196462,241752,220543,201258,201526,128441,152675,152488,133366,122682,136885,147936,117830,135645,146301,146351,125664,A
C031,micro,465183,468316,484269,450699,472733,451771,451235,552333,453988,477836,492231,476090,298843,299794,320142,326261,319570,289324,293767,412134,284943,304066,346318,313072,455162,462232,466559,436890,463703,434949,434814,532094,441690,476133,488923,471331,275052,293828,285532,281317,278787,267397,263085,368970,242518,284886,331685,285237,A
C032,small,976997,938858,991682,977075,1043535,1057830,914102,882173,881706,1078537,1068453,967690,672575,570347,678577,698563,768706,649440,672211,590301,588806,808810,667103,683582,944195,931752,953409,958897,1008744,1028566,879186,855304,870238,1069148,1055427,941716,621530,529635,607178,642305,766951,600843,611517,566208,576735,690663,596058,661954,A
C033,micro,221479,240967,248111,257637,249470,293105,250534,261017,247935,239603,252160,273581,146208,160892,175695,164157,172987,182126,157881,159790,184221,145765,173973,193818,221216,239248,243422,250748,243024,282307,246084,252307,240945,238075,245731,266368,139857,137524,161791,157548,167102,161398,141450,139097,173050,127455,168814,179286,A
C034,micro,408868,377069,350957,386150,389750,359930,410327,432488,416379,415509,425186,384664,262649,234064,248200,259061,266389,236775,304123,264760,307117,259087,283439,243037,395371,369750,349453,384971,387193,352727,407388,431353,412961,406560,414177,370949,262050,204258,221335,247369,252312,209198,295084,245384,264673,221551,264993,212038,A
C035,micro,177190,174802,167290,200917,206106,206416,176647,199667,189557,170916,178547,186247,115303,105171,119634,146912,140160,126463,127830,134913,138802,107011,117920,134996,177039,172140,166420,194881,203163,200640,171314,196041,182883,166425,175917,184992,104155,93109,116082,138179,129514,125193,121179,128413,124471,92888,102972,130259,A
C036,small,1268578,1444457,1260235,1241394,1287294,1332585,1176972,1346862,1260293,1185503,1153638,1291272,848703,912263,882962,828960,886820,864917,745728,851679,788632,715334,801041,877693,1230185,1417003,1218608,1208717,1287200,1291672,1131090,1301108,1234240,1154858,1137015,1261285,745205,823559,814388,804341,807382,792004,731526,749022,755712,681016,705567,756968,A
C037,small,1119166,975684,1221256,1175198,1113158,1049887,1172771,1016870,1135545,1195981,1134232,1083448,822094,614213,841925,806193,785603,776275,712675,630685,701261,783019,817228,807750,1089306,955328,1181147,1170616,1102631,1016243,1143015,1000421,1091944,1187591,1117912,1040939,798176,559385,716091,741525,707457,722177,705918,619007,675181,720181,780931,691279,A
C038,micro,441333,446646,481909,493672,420471,393203,427767,431712,420086,377160,475379,435118,299861,305658,323196,347212,284122,284473,318282,314598,271534,257396,331910,323131,440888,436794,478040,488308,405134,389947,426452,425062,406825,365719,464220,430405,255561,268258,296195,326296,246925,276444,280942,271675,235739,257087,298254,294134,A
C039,micro,404299,413086,428886,488338,346335,329779,430204,415649,403926,434319,364628,432018,278502,301165,260449,355618,245216,212508,289446,302027,278860,270829,247551,271367,398969,405630,414415,487020,340003,325196,424549,412638,387988,431676,356388,422988,266607,293946,225806,334940,216576,181898,258214,270027,242615,259575,217971,262854,A
C040,micro,70812,80481,63861,72116,88654,77844,79171,81241,75239,76461,78440,80220,42780,59205,42626,44556,64300,49068,49572,54218,52702,56857,56869,54249,69764,79950,62449,71430,87366,75859,76051,79752,73187,73846,77025,77613,38923,52456,36467,41672,63555,43026,47364,51941,45043,53299,54290,53515,A
C041,micro,69211,71337,72161,65507,73953,64856,69873,75213,63803,65378,67519,65213,46522,43546,50927,42396,52639,42788,48299,53346,42318,43090,42863,43448,67475,70148,69563,64829,71241,62589,67981,74139,63802,63498,66391,64881,45052,38438,45936,40625,47538,39326,42825,47606,41216,42278,37352,38756,A
C042,micro,502580,536040,468871,468871,538188,507157,459875,498561,460107,460019,487071,404685,334111,345041,324354,291134,346497,332165,307386,357855,289845,311495,335525,245631,494690,518255,451336,467913,537448,503270,447084,480567,454296,449717,469965,396513,285718,340348,288292,276396,310724,308252,286485,314100,288523,300988,332480,241756,A
C043,micro,314267,310212,346327,313372,336996,376197,356821,312693,315098,335885,280818,301729,192174,225364,251898,233688,221678,279580,237951,219028,192958,246729,181043,192909,301761,304543,339062,308814,336702,374823,355539,306755,303805,324880,280290,294632,188283,214282,237871,208294,218245,246319,216693,218817,185309,226191,169112,175873,A
C044,small,449441,528507,525821,416762,421994,412548,549256,481504,476152,499401,441301,471256,284354,393009,389898,305184,294113,260761,382021,298952,318453,365102,281889,329751,446972,510513,516629,402744,408032,397763,531744,471011,472239,499218,437859,459520,263699,337530,373001,262725,288934,250046,372473,285958,304000,361274,276885,284986,A
C045,medium,2889449,2935004,2680230,2363892,3052918,2775311,3077837,3206982,2980027,3045737,2632088,3175192,2156686,2057321,1785247,1521053,2065162,1712004,1951481,2154396,1896530,2004696,1902555,1940617,2880567,2844006,2648750,2279790,3004194,2709458,3057748,3110776,2915389,2991819,2553331,3062186,2068252,1844411,1738586,1395947,1784549,1683038,1875887,1870640,1855528,1724120,1669669,1699641,A
C046,small,1469904,1291033,1424682,1359781,1371144,1316803,1368905,1473810,1284082,1381036,1551908,1327456,1073121,837299,877050,979472,903892,914079,828732,950587,779628,905727,992231,993705,1434341,1255273,1380295,1332260,1319472,1279390,1327013,1471654,1264342,1373445,1495423,1282269,1020416,834660,748548,965914,776179,880578,712453,844463,682518,796378,859256,922276,A
C047,micro,455376,539554,524637,513546,447297,558776,448936,520706,477002,465363,434049,531670,285896,397964,336102,329199,332414,345920,319683,312833,347505,327799,296435,393588,446498,521805,514918,499032,429595,556179,442766,519503,472136,451722,422969,521598,266464,353710,294491,297631,289542,314221,294359,311370,302967,303915,275432,352571,A
C048,micro,415341,412823,428176,489528,445526,490688,376313,476498,511657,436866,535089,415122,270182,275833,268924,323737,276144,297144,230416,301155,348840,305046,368312,284877,404288,402594,417927,483249,430310,486542,361824,469134,494303,432879,519317,411336,241305,261422,266931,319778,241548,267629,198966,287279,332091,300889,329975,249927,A
C049,micro,169754,184679,142590,164193,165557,164159,161050,184437,178815,157808,155406,168525,126352,112440,91753,106204,116765,115920,119411,127438,116817,104645,114375,107484,165021,177854,138321,163606,164522,161777,160986,183994,177778,157310,153329,164434,118445,101939,84601,96031,102168,114093,111227,124060,109244,89053,107990,103753,A
C050,micro,145055,134753,169879,146816,143107,165706,136979,136428,154180,163166,161145,148552,101711,88757,114851,99632,105785,113626,95920,82926,100072,99280,101034,109764,144696,133212,168062,143655,142714,161772,135244,134517,151706,158088,159098,147827,98609,81195,113436,96371,101433,98710,94716,75310,89488,93572,92969,97503,A
C051,micro,77137,62486,70681,69851,68122,64014,68151,84640,67284,66843,62979,74310,51029,37939,45839,44972,45425,38987,48605,60036,46070,47266,43289,51710,76505,62160,68843,67918,67042,62406,67780,83664,65731,66514,60508,72697,44669,37045,39819,43238,44386,34159,43293,59328,43648,42422,39490,45229,A
C052,small,358713,309444,351025,322250,344878,355267,379643,362578,331854,384786,332858,384800,265059,217319,230015,234867,226611,218220,246287,240123,236061,268845,209766,277546,355648,301955,344153,319622,337227,351616,365653,355147,324346,373182,331016,369716,243224,186267,212686,229892,204000,214999,213884,209775,228533,255333,200963,258364,A
C053,small,1046057,1190511,1354012,1494199,1199686,1329492,1038261,1223340,1213664,1192583,1241601,1201001,685944,813726,994690,934027,793089,927790,711378,837961,823657,824238,768842,754708,1022675,1183941,1348432,1448114,1174074,1301336,1014412,1221872,1205212,1178507,1207049,1160124,679909,786529,882148,893548,705971,909238,629512,740026,703612,761912,737217,680998,A
C054,micro,214799,190334,224150,225982,188338,184847,223414,201889,225028,216626,193703,199463,152085,142663,144842,141419,117958,115451,153653,135474,150569,137617,141100,133766,206676,190282,216938,223383,186955,180936,216811,197372,217912,212059,187748,192770,134224,124703,143690,133395,113159,113305,152309,117610,147921,118958,136501,126894,A
C055,micro,423953,483278,416700,497483,497378,472391,487156,500561,522232,473170,551813,440898,255672,348546,276873,340170,356554,311959,358644,349139,370310,339231,360118,265839,413075,469808,415351,482626,482281,470689,482807,489144,520598,467637,531324,428942,249733,329499,260900,330389,337109,277679,325589,314834,325891,301589,342438,259792,A
C056,medium,2200968,2514206,2611947,2301866,2349248,2089720,2348078,2581776,2279820,2349147,2532185,2793552,1601119,1608583,1739897,1685272,1669032,1477215,1421411,1556707,1479990,1607879,1802555,1981844,2200104,2510533,2564952,2300785,2303133,2035369,2341627,2499591,2225211,2299551,2444858,2762845,1501626,1405063,1684066,1474277,1605026,1313079,1368586,1353305,1263635,1409286,1793758,1768493,A
C057,micro,132931,143946,172505,181216,121600,163134,175188,132943,150441,135897,142177,152786,98248,89843,126134,110148,91060,100454,115676,81198,90698,96242,86190,92099,128055,139805,168566,174111,118982,160978,172896,131863,144927,135326,140964,150733,96077,83703,110950,102526,84330,89565,109924,77926,86517,90457,75799,87392,A
C058,micro,236650,252890,218541,264812,233424,223064,242448,278692,256533,228201,238653,273188,165164,162982,132194,196574,145402,143170,166362,190370,156977,142561,169237,168953,230662,242919,214311,256765,228807,217455,236346,272279,252209,224547,234283,271482,147435,140558,125419,173599,141569,130230,158262,187754,149520,141305,168514,158255,A
C059,small,492477,593990,587495,495566,597133,514176,512222,648967,517348,468588,545078,551424,303221,398537,362530,318603,433358,332729,313201,464280,330428,346831,393113,358591,482457,575522,574200,488517,596219,502648,500730,639628,515549,460267,534949,539144,264066,394673,342835,316211,397814,302245,295109,441431,318706,310952,351489,315581,A
C060,micro,146615,120802,112824,148147,142042,138194,134136,122269,124004,126396,158604,134501,101949,73939,77534,107537,91469,103395,91491,90957,81029,85644,118668,84821,146475,116163,108398,143371,136426,135136,132269,120857,120309,125202,158392,131998,93246,68392,74815,96638,79994,97476,86549,88033,80151,83564,118006,79132,A
C061,small,608233,659933,618191,640684,557509,545815,606273,552430,602171,657939,658400,605018,425836,404060,373495,453607,394032,330753,406143,361902,415428,466283,414000,410948,590994,637217,617103,630562,555508,533978,583077,533129,586142,643408,643282,594103,411125,399344,359471,405458,346339,294069,389456,332287,363776,441275,352543,396678,A
C062,micro,263884,294373,239367,289416,237108,275293,256224,304502,272340,279428,269284,274179,164542,202563,157427,186409,142890,184454,188712,187384,180913,173142,166095,202708,259865,285788,236829,280027,230301,267491,251280,297022,263973,277263,266136,272531,148841,182377,155772,180090,134120,181345,179646,159778,175487,164417,148628,188331,A
C063,micro,228965,216802,228312,206230,233638,198162,200784,233157,226459,212505,241438,248017,166989,144840,156489,123901,170831,136075,148938,171083,159038,155884,151869,178667,220021,216112,225290,204103,233319,193405,195280,228411,220079,208607,234611,240436,159465,130650,143787,116512,148031,123862,132448,160783,156895,136735,151561,170286,A
C064,micro,277110,358735,258770,294600,277468,279966,247282,322367,314590,347933,276016,312400,167483,226474,156138,204807,175822,184706,171348,193514,190437,228425,174571,206411,275625,348055,254644,285490,268657,270737,246180,318132,306736,334266,268868,303728,152996,205891,146044,191756,165887,163920,149011,171601,190133,226950,167018,199216,A
C065,micro,59854,61350,59718,61557,69330,67948,55958,64581,64302,56079,65060,58602,40240,43065,42448,38459,42645,50223,35424,39720,46230,34551,43484,36103,58735,59991,57759,61520,68396,66943,54951,62076,62002,54620,62589,57551,39074,39038,42011,34444,38876,44284,32292,34315,45333,31088,43064,34156,A
C066,micro,122641,100600,104733,103494,113223,123882,84110,122143,115879,112686,136225,119795,85806,69928,68392,62510,70741,90669,51322,80048,71535,69239,83447,73439,117844,99679,100750,101280,112957,120000,81961,117410,112653,109027,131463,116988,85093,59841,67951,54318,60957,79328,50973,71259,61883,68281,77856,70671,A
C067,micro,397542,479472,431085,415590,448672,479107,407548,397689,418178,398304,379381,377646,241101,356368,284366,282372,284872,309642,278272,280876,310712,274945,250520,246694,394587,466002,423233,414977,434016,473894,403199,382515,417669,388276,374934,366679,213942,319215,247634,281318,242500,304741,251316,277802,282771,253023,229756,243305,A
C068,micro,64260,70624,60947,74173,71708,70527,71762,72079,69707,72065,72932,69567,46033,48631,38112,46544,43366,44746,48761,50728,44856,44213,54542,49808,63100,68246,60338,72763,71151,69728,68937,70676,68796,71156,71433,69561,41609,44009,33172,41868,37969,43675,45876,46584,42854,44158,51570,42474,A
C069,micro,452583,394158,361161,427256,454026,449072,442322,436918,406636,396782,386252,453189,303467,247201,234222,285508,308486,289182,283770,306595,258221,278378,256800,298266,440553,386484,360984,419239,448223,438135,426692,431801,397098,388149,375931,436760,278782,240000,205888,262597,271047,249096,242566,267617,229446,239518,253995,277982,A
C070,small,1904519,1808481,1661439,1719802,1754176,1940113,1350163,1723988,1591533,1672831,1544156,1897998,1155197,1277185,1042995,1081080,1245890,1200720,872286,1275962,1190242,1249096,956889,1140192,1888368,1784950,1617863,1674492,1718274,1903568,1349741,1720403,1578853,1618434,1491971,1824542,1028154,1155734,1038063,978238,1149437,1056309,861156,1125447,1162425,1071509,846675,1105807,A
C071,micro,216009,232739,215879,234464,245064,206679,227881,208450,218182,249286,211201,199563,148055,149682,157357,173267,148417,134055,148277,144678,133380,158042,155888,127331,214946,226137,209284,226820,236607,202406,225426,206518,212159,246244,210778,195809,135160,139912,151969,158589,141996,128001,129579,123276,130523,147386,134359,118516,A
C072,micro,294714,374856,405913,310247,334348,373568,357988,336276,375982,355216,314775,343636,194694,260577,279092,222545,231546,259318,234654,210259,267623,234198,220053,222606,283744,360595,396848,306542,331518,362172,352992,334534,364108,342853,312326,330441,176034,247920,271860,203734,199558,224059,223827,203787,240421,212327,211235,198447,A
C073,micro,349457,298539,257385,291520,302454,256604,275298,316970,330267,254838,300122,287445,218020,205484,164545,213233,223169,158003,205263,192247,199847,173261,181309,187019,338181,289806,257147,290904,300274,253066,264897,313029,325469,250788,289575,278395,201912,189351,141873,192667,214237,151631,178108,164624,179428,169070,170645,161131,A
C074,micro,389863,430535,426827,383803,433796,443727,382904,413999,400804,438246,393321,407896,258704,310300,257985,260551,311509,320274,249354,273219,292326,263088,245961,268210,383624,415561,410346,379227,425670,439262,369917,398568,392597,430085,386679,402415,237067,270165,227166,230064,301347,306239,231550,272360,260183,252369,222793,247437,A
C075,micro,82725,92025,82555,72105,83596,78548,88268,87086,80964,82934,74813,74340,52427,56329,51812,51104,62683,48816,55883,55889,57651,61958,53618,52355,82554,88631,79947,71141,82925,77412,84854,84596,78001,82520,74677,73532,44761,54264,50971,45471,62038,44478,50981,49165,57527,55576,47015,44592,A
C076,micro,383067,399404,422164,412707,412632,424907,377860,467257,429624,407309,427510,417493,272316,273347,302679,278220,303424,297816,275932,337525,316429,272300,274696,307470,369466,384674,417379,404821,412112,424879,376043,465367,413826,399827,411056,412198,255970,264851,280189,247242,266959,263221,264056,313579,274975,236570,245109,274685,A
C077,small,1327183,1437138,1443670,1171871,1422412,1216285,1566356,1311035,1425790,1521324,1274928,1283002,936778,953382,878614,834436,949953,761840,951415,844138,869760,1084207,777152,852922,1293429,1388388,1417494,1145776,1367567,1207668,1520824,1267455,1405508,1467015,1241945,1251476,858870,950100,842950,748351,934957,737073,846093,756704,756185,990234,770130,771942,A
C078,micro,372914,372837,354700,370841,341675,375722,355916,337909,374416,362851,331438,380058,252726,260841,228398,271094,250264,256981,225518,250056,246544,225912,214863,247107,371404,358086,343444,367938,335805,369847,355406,329953,360307,349572,319691,379222,240837,224935,194283,242483,226561,232073,221025,241117,219610,194303,207768,234725,A
C079,micro,235808,260686,249321,280907,273577,272101,278461,272387,260134,291076,275028,319042,151637,163766,162345,179766,172469,179900,188848,163778,193662,212215,197609,227420,235234,260521,240196,275656,270905,264595,275028,263620,258617,284534,271008,309841,144249,148631,143176,157358,158032,177853,182916,147127,164746,202291,187065,206954,A
C080,micro,390854,330281,372714,382324,345435,334282,347776,354335,373314,312300,353368,377838,282121,216645,268893,230082,241877,215137,225501,234802,251225,231540,250828,281997,384269,323872,364441,380270,340204,327988,334790,346906,361885,306421,340681,365005,279942,215809,231656,223915,208914,205934,211944,205635,240483,205843,246413,257754,A
C081,micro,204357,176460,203767,202828,183957,169183,209376,227713,207981,177361,200719,184849,136881,124867,151426,140706,121910,124196,135853,170194,146943,130952,150200,131059,198889,171295,196452,196219,178066,166338,203151,221613,200337,175338,195014,181283,120777,113079,136500,122917,118889,110724,124494,170103,146498,117969,143403,125959,A
C082,micro,372417,353145,353306,336908,327347,329313,375140,384020,366135,322437,349706,391662,227333,216628,258185,231862,200168,214586,245699,231096,243947,196052,245105,236893,363248,350660,351866,327876,315528,318622,362605,383057,365964,310738,339385,378074,217813,190351,220042,202439,197213,202174,212405,202203,207530,180297,210914,233628,A
